particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type,ml_type_proba
34715,1749,3,189.072,5.875,68,34.73,0.84,684.69,96.85,465,798,9.625,0.55,113,124,318,325,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34717,1749,5,189.072,5.625,64,45.21,0.63,731,64.44,567,799,14.125,0.39,93,106,437,448,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,translucent fibral,101
34777,1761,1,190.383,6.375,72,39.31,0.77,693.36,86.23,521,799,10.625,0.43,554,567,113,118,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34791,1764,2,190.71,5.125,60,33.38,0.82,691.78,96.85,460,799,6.625,0.84,62,72,237,245,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34798,1765,1,190.819,5.125,59,32.31,0.84,684.14,113.22,398,798,6.375,0.89,1176,1184,228,236,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34804,1766,4,190.929,8.125,94,39.38,0.87,538.21,214.39,121,799,10.125,0.71,51,60,461,473,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
34814,1767,6,191.038,9.125,109,43.28,0.86,519.05,220.74,127,797,10.375,0.83,1203,1216,451,462,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
34822,1768,1,191.147,5.875,66,33.38,0.86,618.79,147.94,324,799,6.875,0.8,304,313,688,697,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
34825,1768,4,191.147,6.125,71,34.97,0.85,584.94,190.45,155,797,8.125,0.7,377,388,841,849,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
34828,1769,1,191.256,5.625,64,32.14,0.88,629.69,142.67,308,797,6.625,0.82,1265,1273,679,688,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34831,1769,4,191.256,7.125,81,40.21,0.79,608.31,177.07,196,799,10.625,0.61,1092,1105,835,842,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
34855,1775,2,191.894,16.625,233,81.53,0.66,654.65,121.21,215,799,25.875,0.53,529,553,183,197,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense fibral,101
34861,1776,1,191.994,20.625,319,72.87,0.87,420.5,222,81,799,23.625,0.78,529,550,57,75,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
34865,1776,5,191.994,7.875,92,44.38,0.77,730.24,66.05,571,803,10.875,0.59,1110,1118,480,493,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,translucent globular,101
34876,1778,4,192.204,21.375,338,73.28,0.89,381.62,247.48,33,799,23.125,0.86,78,97,763,784,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34882,1779,2,192.324,5.375,61,34.14,0.81,693.59,75.36,545,795,9.875,0.46,133,143,659,667,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34887,1780,4,192.414,5.125,60,32.97,0.83,691.03,75.08,551,795,9.125,0.48,723,733,654,662,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34893,1781,4,192.534,21.875,352,76.43,0.87,317.59,280.55,0,799,25.625,0.86,375,399,758,779,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34899,1782,4,192.624,18.125,266,78.84,0.73,640.38,119.18,348,798,25.875,0.64,787,812,999,1015,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense fibral,101
34912,1785,1,192.954,9.625,113,49.28,0.76,638.64,123.29,412,799,16.625,0.38,11,26,270,283,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense fibral,101
34930,1788,5,193.254,15.375,213,72.77,0.71,599.84,184.97,190,799,21.375,0.69,1250,1270,716,732,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
34948,1790,7,193.464,5.125,59,33.56,0.81,667.37,110.05,428,799,9.625,0.47,87,96,776,785,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34954,1791,3,193.574,8.875,104,62.46,0.58,737.42,45.4,624,799,23.125,0.29,235,242,569,592,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,translucent fibral,101
34964,1792,6,193.674,5.375,61,35.8,0.77,707.54,85.85,522,799,9.875,0.51,23,35,949,956,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
34987,1797,1,194.214,7.125,81,40.97,0.78,633.17,157.98,232,797,10.875,0.54,27,40,240,247,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
35042,1804,2,194.934,5.125,58,29.31,0.92,678.72,117.14,399,798,4.875,0.89,1194,1202,179,186,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
35073,1810,4,195.564,13.375,176,57.63,0.82,478.65,243.7,87,799,15.625,0.85,677,692,721,733,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
35080,1812,1,195.774,7.875,92,49.97,0.68,718.47,61.36,602,799,15.625,0.34,953,970,390,396,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,translucent fibral,101
35107,1818,4,196.391,5.625,63,33.73,0.83,673.19,102.14,461,795,9.125,0.5,541,553,939,944,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
35147,1826,5,197.28,7.125,80,37.56,0.84,663.55,111.15,403,799,10.625,0.56,1027,1037,338,348,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
35157,1828,1,197.499,8.125,94,39.8,0.86,565.62,188.34,202,799,11.875,0.53,749,759,48,60,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
35167,1829,6,197.608,5.125,60,38.9,0.71,755.85,27.02,708,797,12.375,0.3,411,425,746,751,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,translucent fibral,101
35189,1832,7,197.935,5.375,61,32.73,0.85,734.28,59.27,590,798,7.875,0.57,313,322,997,1005,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
35197,1835,2,198.263,5.875,67,36.56,0.79,704.24,71.18,567,799,8.125,0.64,478,489,470,476,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
35203,1836,1,198.372,5.625,63,31.07,0.91,509.37,210.07,124,797,6.375,0.82,707,714,86,94,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
35212,1837,3,198.481,6.125,69,35.97,0.82,694.45,95.03,462,799,8.375,0.77,14,24,722,730,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
35277,1847,9,199.573,5.625,64,51.11,0.55,745.31,43.12,648,799,15.125,0.27,1074,1091,978,983,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,translucent fibral,101
35311,1856,1,200.556,7.625,87,40.73,0.81,546.75,218.46,144,797,11.375,0.66,413,423,47,58,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
35326,1859,1,200.884,6.625,74,35.38,0.86,665.64,112.41,448,799,7.375,0.82,577,587,409,418,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,air bubble,101
35329,1860,1,200.993,5.125,58,35.38,0.76,758.53,27.81,702,798,10.125,0.45,878,886,305,316,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,translucent fibral,101
35383,1869,5,201.976,9.875,117,47.46,0.81,535.64,229.29,93,795,14.625,0.6,1002,1018,808,817,FALSE,AHF_20151014_Galactic,17 GIV6 LN20150206_5200-3196_151014-135403,dense globular,101
